timestamp,mem_write_time,mem_read_time,file_write_time,file_read_time,rtt,tsc_jump
14625729496224,9444396,8895886,29002,3920,0.12,678276
14625829577874,9434880,8909290,29038,3918,0.12,621342
14625929661046,9451260,8911534,28658,3686,0.12,654224
14626029739048,9502136,8859498,28852,3828,0.12,631892
14626129814303,9502952,8847822,29422,3854,0.09,637472
14626229888932,9498546,8833718,28638,3724,0.09,762206
14626329970968,9497392,8844058,29370,3914,0.09,631676
14626430055872,9508358,8852118,28758,4018,0.09,788926
14626530198962,9558186,8880030,54852,6828,0.09,797150
14626630296169,9556030,8860336,47202,6804,0.09,762534
14626730387595,9559384,8937384,54372,7102,0.09,800198
14626830456132,9497606,8957834,45838,7522,0.09,692668
14626930573622,9575756,8888420,49414,8500,0.09,802390
14627030642922,9574366,8863892,39676,6318,0.09,796104
14627130681614,9556632,8851544,29536,3766,0.17,801236
14627230780307,9637250,8808834,32542,4284,0.17,801368
14627330855268,9622266,8820596,30284,4354,0.17,790494
14627430933239,9644896,8800910,29176,4150,0.17,628742
14627531023221,9631072,8841398,30050,4276,0.17,657974
14627631098226,9619822,8833944,29128,4188,0.17,634088
14627731168564,9621272,8801220,29622,4056,0.17,633354
14627831272358,9606622,8814740,30888,4270,0.17,620130
14627931349369,9636008,8860668,28576,4096,0.17,684118
14628031455362,9610880,8897918,36104,5460,0.17,801172
14628131537742,9581900,8907600,31276,4162,0.22,829460
14628231598310,9564500,8857218,29324,3936,0.22,764926
14628331682534,9557160,8881040,28620,4090,0.22,644516
14628431762673,9621976,8815674,28280,3818,0.22,629590
14628531844400,9637672,8802314,28668,4064,0.22,619958
14628631927822,9611456,8842684,28494,3952,0.22,799952
14628732037441,9630954,8810762,28736,3824,0.22,630032
14628832101341,9632052,8868794,30032,4166,0.22,692376
14628932183862,9611536,8881276,29406,4138,0.22,1616684
14629032280960,9628416,8930896,28970,3950,0.22,619986
14629132387423,9647218,9006188,29120,4122,0.18,643254
14629232565013,9753852,9208542,29964,4186,0.18,761580
14629332548514,9566262,8953752,29300,4006,0.18,676286
14629432623275,9548994,8958258,28520,3760,0.18,621178
14629532701085,9563954,8934786,31502,4012,0.18,631864
14629632787257,9641372,8865222,28972,4014,0.18,669702
14629732860574,9613884,8884960,28242,3888,0.18,627036
14629832959721,9686528,8880476,27750,3856,0.18,626676
14629933046266,9598390,8885454,28412,4018,0.18,674926
14630033212233,9635324,9003180,50978,5882,0.18,654918
14630133263393,9551036,8877868,45320,6992,0.17,799484
14630233368871,9552436,8933000,52764,6458,0.17,788798
14630333438600,9509172,8925888,47362,6246,0.17,794568
14630433566720,9495536,8940262,56380,7074,0.17,790696
14630533664957,9545900,8986104,42832,5504,0.17,799040
14630633716469,9507842,8959102,29228,4022,0.17,856972
14630733788411,9562170,8880630,28932,3862,0.17,804658
14630833877891,9563018,8892278,39198,4108,0.17,800132
14630933950601,9550344,8894336,29164,3654,0.17,789514
14631034032863,9555074,8889578,28908,3976,0.17,804020
14631134139028,9531428,8892648,28416,4072,0.20,766116
14631234241356,9543410,8877586,28634,3898,0.20,765914
14631334318931,9542244,8940050,28770,3812,0.20,622106
14631434403216,9541018,8953502,29306,4104,0.20,625576
14631534446196,9528708,8960866,37570,4970,0.20,879724
14631634540473,9599192,8894860,29504,4162,0.20,795962
14631734601897,9552226,8876238,28724,4074,0.20,620066
14631834679206,9564292,8860614,28794,4010,0.20,642942
14631934763628,9623306,8813836,29044,3844,0.20,637138
14632034844383,9636704,8805282,28930,3998,0.20,626372
14632134928433,9627702,8812038,29602,4042,0.14,790500
14632234998867,9606384,8813576,28294,3872,0.14,764560
14632335079346,9625902,8798170,28750,3972,0.14,788000
14632435172955,9607708,8822720,28016,3834,0.14,628168
14632535274995,9638592,8800866,29622,3948,0.14,795400
14632635354851,9632180,8872046,28902,3978,0.14,796862
14632735412760,9545984,8894864,29186,4210,0.14,654966
14632835508639,9523362,8831064,32012,4360,0.14,625674
14632935582238,9513472,8843228,29210,4096,0.14,785656
14633035656738,9509770,8836520,28132,4070,0.14,680892
14633135738088,9584740,8768584,28094,4106,0.11,800206
14633235817070,9570484,8776824,27560,3756,0.11,760496
14633335891780,9561548,8770500,27368,3946,0.11,623388
14633435972525,9573266,8767906,27012,3756,0.11,635570
14633536136168,9619142,8881890,47950,5946,0.11,781518
14633636255193,9634074,8888818,54058,6306,0.11,799684
14633736324570,9617952,8940504,51556,6196,0.11,765494
14633836472426,9677506,9123752,46304,5880,0.11,628546
14633936462532,9578056,8904350,43104,6320,0.11,791832
14634036563924,9556614,8911702,39522,5980,0.11,795516
14634136616870,9567440,8905414,29406,4020,0.19,627516
14634236687611,9518662,8901792,28746,3910,0.19,761702
14634336799121,9570252,8850686,26936,4010,0.19,686418
14634436899067,9563488,8836494,27960,4050,0.19,619302
14634537010865,9567486,8830246,29558,4026,0.19,781924
14634637123839,9562032,8869056,27838,3846,0.19,760370
14634737174224,9503050,8838636,26584,3838,0.19,625152
14634837301022,9511128,8891144,26950,3886,0.19,619486
14634937383918,9498762,8913176,27394,3780,0.19,624342
14635037563015,9527090,8961928,39272,5372,0.19,672350
14635137615773,9497016,8965960,31346,4294,0.16,627520
14635237692646,9511202,8946798,29764,4026,0.16,764170
14635337794150,9572710,8962018,29044,4250,0.16,690094
14635437850188,9529018,8915860,28644,4044,0.16,636932
14635537927994,9557862,8889510,28418,3782,0.16,619428
14635638004025,9528562,8898404,28794,3956,0.16,634710
14635738080650,9546128,8865868,28668,4016,0.16,672486
14635838174033,9558098,8882790,39364,3780,0.16,623978
14635938268932,9538648,8893104,31278,3906,0.16,620402
14636038345664,9553464,8946272,28514,4106,0.16,627952
14636138431730,9475344,8958832,29020,3990,0.14,798258
14636238519361,9491124,8931528,28666,4098,0.14,762748
14636338604744,9575996,8866536,29114,3910,0.14,766078
14636438684847,9564066,8876282,28866,4098,0.14,800854
14636538763815,9625340,8811854,28950,4016,0.14,799146
14636638850562,9631556,8827610,28636,3920,0.14,800612
14636738922872,9609696,8819214,28780,3626,0.14,798678
14636839002826,9622438,8805514,28240,3910,0.14,790286
14636939084285,9616562,8817976,30766,4076,0.14,798892
14637039268210,9651290,8797194,116092,6264,0.14,802060
14637139340465,9629236,8879502,49652,6188,0.16,799984
14637239433536,9623300,8876062,46768,6976,0.16,802326
14637339462473,9575230,8886052,51776,6450,0.16,662504
14637439574382,9585072,8869604,46788,7516,0.16,801610
14637539635701,9561534,8862148,43006,5770,0.16,801886
14637639721819,9606920,8898546,33324,4426,0.16,883784
